Date,Price,Open,High,Low,Vol.,Change %
2/9/2024,96,95.9,95.9,95.9,0.05K,-1.69%
2/8/2024,97.65,98.2,98.2,97.9,0.00K,-0.96%
2/7/2024,98.6,99.25,99.25,97.5,0.12K,0.00%
2/6/2024,98.6,97.75,97.75,97.75,0.02K,0.46%
2/5/2024,98.15,98,99,98,0.02K,-0.25%
2/2/2024,98.4,98.2,98.7,98.2,0.01K,1.13%
2/1/2024,97.3,98.9,98.9,97.8,0.06K,-2.31%
1/31/2024,99.6,97.2,99.75,97.2,0.20K,3.59%
1/30/2024,96.15,94.2,95.7,94.2,0.11K,1.96%
1/29/2024,94.3,95,95.5,94.7,0.16K,-11.04%
1/26/2024,106,105.75,105.75,105.75,0.00K,0.38%
1/25/2024,105.6,105.6,105.6,105.6,0.00K,-0.19%
1/24/2024,105.8,105.8,105.8,105.8,,0.28%
1/23/2024,105.5,105.5,105.5,105.5,0.03K,0.14%
1/22/2024,105.35,104.75,105.5,104.75,0.00K,-0.61%
1/19/2024,106,104,106,104,0.04K,-0.98%
1/18/2024,107.05,107.1,107.1,107.1,0.04K,-0.05%
1/17/2024,107.1,107,107.15,107,0.06K,-0.60%
1/16/2024,107.75,107.85,108,107.4,0.05K,0.23%
1/15/2024,107.5,107.25,107.25,107.25,0.02K,-1.19%
1/12/2024,108.8,108.5,108.5,108.5,0.02K,2.16%
1/11/2024,106.5,108,108,106.5,0.03K,-2.29%
1/10/2024,109,109,109,109,0.11K,-2.02%
1/9/2024,111.25,111.65,111.65,111,0.07K,-1.72%
1/8/2024,113.2,112.55,113.75,112.55,0.09K,-2.41%
1/5/2024,116,113.65,116.5,112.65,0.10K,3.29%
1/4/2024,112.3,109.75,112,109.75,0.12K,3.07%
1/3/2024,108.95,106,109,106,0.20K,2.64%
1/2/2024,106.15,107.5,107.5,104.75,0.14K,-9.74%
12/29/2023,117.6,107.6,107.6,107.6,,0.30%
12/28/2023,117.25,117.25,117.25,117.25,,-0.21%
12/27/2023,117.5,118.95,118.95,118,0.01K,3.52%
12/26/2023,113.5,113.5,113.5,113.5,0.00K,-2.16%
12/22/2023,116,117,117,117,0.00K,0.22%
12/21/2023,115.75,115.75,115.75,115.75,,-0.17%
12/20/2023,115.95,116,116,116,0.01K,0.04%
12/19/2023,115.9,115.9,115.9,115.9,,-1.11%
12/18/2023,117.2,117.2,117.2,117.2,,0.17%
12/15/2023,117,117,117,117,,-0.64%
12/14/2023,117.75,118.9,118.9,118.9,0.03K,0.00%
12/13/2023,117.75,117.25,117.75,117.25,0.02K,-0.04%
12/12/2023,117.8,117.8,117.8,117.8,0.00K,-3.40%
12/11/2023,121.95,120.5,122,120.5,0.08K,-0.77%
12/8/2023,122.9,123,126,122.6,0.07K,0.94%
12/7/2023,121.75,122,122,121.85,0.07K,0.83%
12/6/2023,120.75,120.5,122,120,0.14K,2.37%
12/5/2023,117.95,118.5,118.5,118.1,0.05K,-0.80%
12/4/2023,118.9,119,119,118.6,0.06K,-1.25%
12/1/2023,120.4,120,120,119,0.07K,1.26%
11/30/2023,118.9,116.5,116.5,116.5,0.02K,3.93%
11/29/2023,114.4,114.25,115,114.25,0.07K,-0.39%
11/28/2023,114.85,115.5,115.6,114.05,0.22K,-1.59%
11/27/2023,116.7,118.1,118.1,116.85,0.13K,-5.70%
11/24/2023,123.75,120.25,120.25,120.25,,0.08%
11/23/2023,123.65,123.3,123.3,123.3,0.00K,0.65%
11/22/2023,122.85,122.5,122.5,122.5,0.00K,0.37%
11/21/2023,122.4,122.4,122.4,122.4,,-0.08%
11/20/2023,122.5,121.5,121.5,121.5,0.00K,1.32%
11/17/2023,120.9,121.7,122,121.7,0.04K,-3.05%
11/13/2023,124.7,123.5,124.6,123,0.02K,0.00%
11/10/2023,124.7,124.7,124.7,124.7,,-1.46%
11/9/2023,126.55,127,127,127,0.00K,1.16%
11/8/2023,125.1,123,123.5,122.5,0.19K,3.39%
11/7/2023,121,121,121.75,121,0.06K,0.62%
11/6/2023,120.25,124,124.5,121,0.01K,-3.45%
11/3/2023,124.55,125.1,125.1,125.1,0.01K,0.36%
11/2/2023,124.1,123.5,124,123,0.03K,1.31%
11/1/2023,122.5,123.65,123.65,120,0.01K,-0.81%
10/31/2023,123.5,123.75,124.5,122.65,0.17K,-3.97%
10/30/2023,128.6,133.4,133.4,127.55,0.27K,-5.44%
10/27/2023,136,130,130,130,,0.00%
10/26/2023,136,135.5,135.75,135.5,0.01K,0.15%
10/25/2023,135.8,135.5,135.5,135.5,0.01K,-0.98%
10/24/2023,137.15,137.15,137.15,137.15,,-0.07%
10/23/2023,137.25,137.25,137.25,137.25,,-0.54%
10/20/2023,138,138,138,138,,0.36%
10/19/2023,137.5,137,137,137,0.01K,-0.47%
10/18/2023,138.15,138.5,138.5,138.5,0.01K,-0.25%
10/17/2023,138.5,140,140,140,0.00K,0.00%
10/16/2023,138.5,138.5,138.5,138.5,,0.07%
10/13/2023,138.4,135,136,135,0.02K,2.90%
10/12/2023,134.5,132.5,134.25,132.5,0.02K,3.26%
10/11/2023,130.25,130.5,130.5,130,0.05K,0.00%
10/10/2023,130.25,129,130.5,129,0.09K,2.96%
10/9/2023,126.5,126,127,126,0.05K,3.01%
10/6/2023,122.8,123,123.25,122.5,0.06K,2.76%
10/5/2023,119.5,118.75,120.5,118.75,0.16K,0.34%
10/4/2023,119.1,119.1,119.1,119.1,0.29K,-1.41%
10/3/2023,120.8,123.5,123.5,121.8,0.07K,-3.86%
10/2/2023,125.65,127.45,127.45,124.25,0.11K,1.91%
9/29/2023,123.3,127.75,127.75,127.75,,0.24%
9/28/2023,123,123,123,123,,-0.12%
9/27/2023,123.15,123.15,123.15,123.15,0.04K,-0.69%
9/26/2023,124,124,124,124,0.00K,1.18%
9/25/2023,122.55,122.55,122.55,122.55,,0.25%
9/22/2023,122.25,122.1,122.1,122.1,0.01K,0.00%
9/21/2023,122.25,122.25,122.25,122.25,,-0.20%
9/20/2023,122.5,122.5,122.5,122.5,,0.00%
9/19/2023,122.5,122.5,122.5,122.5,,0.00%
9/18/2023,122.5,122,122,122,0.00K,0.20%
9/15/2023,122.25,122.25,122.25,122.25,,0.74%
9/14/2023,121.35,121,121,121,0.00K,0.41%
9/13/2023,120.85,120.85,120.85,120.85,,1.68%
9/12/2023,118.85,118.85,118.85,118.85,0.01K,1.41%
9/11/2023,117.2,117.2,117.2,117.2,,0.30%
9/8/2023,116.85,116.75,116.75,116.75,0.01K,0.17%
9/7/2023,116.65,116.5,116.5,116.5,0.00K,0.13%
9/6/2023,116.5,117.5,117.5,116.5,0.02K,-2.39%
9/5/2023,119.35,115,116,115,0.03K,1.75%
9/4/2023,117.3,117.3,117.3,117.3,,0.34%
9/1/2023,116.9,117,117,117,0.04K,-1.56%
8/31/2023,118.75,121,121,118.5,0.13K,-2.86%
8/30/2023,122.25,122,122.5,121,0.09K,-0.69%
8/29/2023,123.1,125,125,122.75,0.16K,-1.12%
8/28/2023,124.5,124.5,124.5,124.5,0.00K,5.73%
8/25/2023,117.75,122,122,122,,-0.34%
8/24/2023,118.15,118.15,118.15,118.15,0.01K,-0.08%
8/23/2023,118.25,118.25,118.25,118.25,0.01K,-0.46%
8/22/2023,118.8,119,119,119,0.05K,0.25%
8/21/2023,118.5,118.5,118.5,118.5,,1.50%
8/18/2023,116.75,116.75,116.75,116.75,,0.65%
8/17/2023,116,116,116,116,,0.13%
8/16/2023,115.85,116.25,116.25,116.05,0.00K,-0.77%
8/15/2023,116.75,116.75,116.75,116.75,,0.99%
8/14/2023,115.6,115.2,115.2,115.2,0.01K,-0.77%
8/11/2023,116.5,116.5,117,116.5,0.03K,-0.85%
8/10/2023,117.5,115.85,115.85,115.75,0.01K,1.42%
8/9/2023,115.85,118,118,116,0.10K,0.96%
8/8/2023,114.75,114,115,114,0.19K,2.23%
8/7/2023,112.25,110,112.5,110,0.00K,3.70%
8/4/2023,108.25,108.9,108.9,108.9,0.08K,-0.23%
8/3/2023,108.5,106.25,108,106,0.16K,3.09%
8/2/2023,105.25,104,104,104,0.04K,1.01%
8/1/2023,104.2,106.45,106.45,104,0.17K,-1.00%
7/31/2023,105.25,105.1,105.5,105,0.09K,-4.97%
7/28/2023,110.75,106.5,106.5,106.5,,-0.23%
7/27/2023,111,111,111,111,0.00K,-0.22%
7/26/2023,111.25,111.25,111.25,111.25,0.00K,0.09%
7/25/2023,111.15,111.15,111.15,111.15,0.02K,0.09%
7/24/2023,111.05,111.05,111.05,111.05,0.01K,0.50%
7/21/2023,110.5,110.5,110.5,110.5,0.01K,0.68%
7/20/2023,109.75,109.75,109.75,109.75,,1.62%
7/19/2023,108,108.25,108.25,108.25,0.04K,-0.87%
7/18/2023,108.95,107.5,109,107.5,0.04K,4.76%
7/17/2023,104,103.5,104,103.5,0.02K,-0.14%
7/14/2023,104.15,105,105,105,0.01K,0.48%
7/13/2023,103.65,104.5,104.5,103.8,0.06K,-0.38%
7/12/2023,104.05,107,107,104,0.14K,-1.75%
7/11/2023,105.9,108,108,105.75,0.06K,-4.55%
7/10/2023,110.95,114,114,111,0.10K,-4.64%
7/7/2023,116.35,116.35,116.35,116.35,0.34K,-0.77%
7/6/2023,117.25,119.5,119.5,117.5,0.02K,-5.14%
7/5/2023,123.6,124,124,123.3,0.16K,0.24%
7/4/2023,123.3,121,121.25,121,0.22K,1.52%
7/3/2023,121.45,123,123,120.5,0.15K,5.15%
6/30/2023,115.5,115.5,115.5,115.5,,0.52%
6/29/2023,114.9,114.9,114.9,114.9,,-0.09%
6/28/2023,115,115,115,115,,0.00%
6/27/2023,115,115,115,115,,0.00%
6/26/2023,115,115,115,115,,0.35%
6/23/2023,114.6,114.75,115,114.75,0.01K,-0.48%
6/22/2023,115.15,115.15,115.15,115.15,0.00K,-1.37%
6/21/2023,116.75,116.75,116.75,116.75,,-0.38%
6/20/2023,117.2,117.2,117.2,117.2,0.01K,2.76%
6/19/2023,114.05,113.6,113.6,113.6,0.02K,-0.87%
6/16/2023,115.05,113.25,113.9,113.25,0.04K,-1.20%
6/15/2023,116.45,118.4,118.4,118.4,0.02K,0.04%
6/14/2023,116.4,117.25,117.5,117,0.08K,-0.94%
6/13/2023,117.5,117.5,117.5,117.5,0.09K,2.49%
6/12/2023,114.65,114.75,114.75,114.75,0.06K,-0.95%
6/9/2023,115.75,113.5,113.5,113.5,0.04K,2.52%
6/8/2023,112.9,109.5,109.5,109.5,0.00K,2.64%
6/7/2023,110,108,110,108,0.04K,3.14%
6/6/2023,106.65,107.25,107.25,106,0.07K,-3.92%
6/5/2023,111,104,112,103,0.26K,10.06%
6/2/2023,100.85,100,101.55,99,0.04K,7.34%
6/1/2023,93.95,92,94,92,0.16K,-1.62%
5/31/2023,95.5,97,97,95,0.27K,2.69%
5/30/2023,93,97.6,97.6,91.75,0.26K,-6.01%
5/29/2023,98.95,98.95,98.95,98.95,,-16.22%
5/26/2023,118.1,99,99,99,,-0.46%
5/25/2023,118.65,118.65,118.65,118.65,,0.21%
5/24/2023,118.4,118.4,118.4,118.4,,-0.50%
5/23/2023,119,119,119,119,,0.00%
5/22/2023,119,119.75,119.75,119.75,0.02K,0.25%
5/19/2023,118.7,118,119,118,0.02K,1.54%
5/18/2023,116.9,116.9,116.9,116.9,,-1.35%
5/17/2023,118.5,118.5,118.5,118.5,0.03K,0.85%
5/16/2023,117.5,118.35,118.35,117,0.02K,-0.55%
5/15/2023,118.15,119,119,118,0.02K,-1.09%
5/12/2023,119.45,120,120,119,0.06K,0.29%
5/11/2023,119.1,120,120,120,0.11K,-2.74%
5/10/2023,122.45,123.5,123.75,123.5,0.04K,-2.04%
5/9/2023,125,125,125,125,0.04K,-1.69%
5/8/2023,127.15,127.15,127.15,127.15,,0.00%
5/5/2023,127.15,127.15,127.15,127.15,,1.48%
5/4/2023,125.3,126,127.5,125,0.11K,-4.71%
5/3/2023,131.5,133,133,132.75,0.08K,-3.38%
5/2/2023,136.1,136.25,136.25,136.25,0.07K,-0.22%
5/1/2023,136.4,136.4,136.4,136.4,,-2.57%
4/28/2023,140,136.25,136.25,136.25,,0.00%
4/27/2023,140,140,140,140,,-0.11%
4/26/2023,140.15,140.15,140.15,140.15,,0.11%
4/25/2023,140,140,140,140,0.01K,0.90%
4/24/2023,138.75,138.75,138.75,138.75,,-0.36%
4/21/2023,139.25,139.25,139.25,139.25,,0.43%
4/20/2023,138.65,138.5,138.5,138.5,0.05K,0.47%
4/19/2023,138,138,138,138,0.03K,0.69%
4/18/2023,137.05,137.05,137.05,137.05,,0.77%
4/17/2023,136,136.5,136.75,136.5,0.02K,0.07%
4/14/2023,135.9,136,136,136,0.03K,1.12%
4/13/2023,134.4,134.1,134.1,134.1,0.02K,0.45%
4/12/2023,133.8,133,134.25,133,0.03K,3.36%
