Date,Price,Open,High,Low,Vol.,Change %
2/9/2024,27.115,27.255,27.45,26.65,0.27K,-2.50%
2/8/2024,27.81,28.15,28.505,27.665,0.59K,-1.33%
2/7/2024,28.185,28.225,28.845,28.005,0.28K,-1.47%
2/6/2024,28.605,28.42,29.2,27.8,0.33K,0.94%
2/5/2024,28.34,29.85,29.85,28.08,0.48K,-3.29%
2/2/2024,29.305,28.63,29.54,28.63,1.46K,1.09%
2/1/2024,28.99,30.14,30.715,28.8,1.04K,-4.12%
1/31/2024,30.235,29.49,31.05,29.18,0.20K,2.87%
1/30/2024,29.391,28.05,28.55,28.05,0.09K,4.32%
1/29/2024,28.175,28.54,28.95,28.155,0.21K,0.34%
1/26/2024,28.079,27.14,27.975,26.84,0.06K,1.06%
1/25/2024,27.785,28.8,29.215,27.485,0.12K,-3.96%
1/24/2024,28.93,27.455,29.13,27.445,0.63K,6.26%
1/23/2024,27.225,27.375,27.78,26.725,0.92K,-0.15%
1/22/2024,27.265,27.105,27.8,26.755,0.35K,-4.09%
1/19/2024,28.429,28.6,29.13,28.175,0.29K,1.91%
1/18/2024,27.895,27.675,28.705,27.55,0.38K,0.67%
1/17/2024,27.71,29.135,29.6,27.44,0.22K,-6.56%
1/16/2024,29.655,31.31,31.535,29.32,0.90K,-0.87%
1/15/2024,29.915,31.31,31.52,29.32,0.44K,-6.49%
1/12/2024,31.99,31.46,32.2,30.93,1.42K,3.81%
1/11/2024,30.815,30.7,31,30.235,0.41K,-0.40%
1/10/2024,30.94,31.145,31.45,30.325,0.49K,0.98%
1/9/2024,30.64,30.405,31.8,30.23,0.50K,-2.98%
1/8/2024,31.58,33.75,33.95,31.315,1.34K,-8.60%
1/5/2024,34.55,32.46,35.045,32.46,0.48K,3.41%
1/4/2024,33.41,33.575,33.92,32.125,1.12K,1.88%
1/3/2024,32.795,30.485,33.205,30.485,1.72K,7.28%
1/2/2024,30.57,33.395,33.395,30.07,0.32K,-5.50%
12/29/2023,32.35,33.55,34.065,31.635,0.21K,-2.28%
12/28/2023,33.105,34.015,34.015,34.01,1.00K,-6.79%
12/27/2023,35.515,36.875,36.875,35.5,0.63K,3.92%
12/26/2023,34.175,34.175,34.175,34.175,,0.00%
12/22/2023,34.174,34.56,34.665,33.48,0.70K,-0.09%
12/21/2023,34.205,34.27,36.245,33.97,0.66K,2.04%
12/20/2023,33.52,34.56,34.56,32.905,0.69K,2.92%
12/19/2023,32.57,34.33,34.33,32.18,0.58K,-8.31%
12/18/2023,35.52,33.635,37.385,32.465,2.61K,7.02%
