Date,Carbon
1/31/2024,64.4
1/30/2024,64.02
1/29/2024,61.77
1/28/2024,
1/27/2024,
1/26/2024,63.1
1/25/2024,63.41
1/24/2024,65.8
1/23/2024,63.27
1/22/2024,62.41
1/21/2024,
1/20/2024,
1/19/2024,63.42
1/18/2024,63.28
1/17/2024,63.31
1/16/2024,65.49
1/15/2024,66.9
1/14/2024,
1/13/2024,
1/12/2024,63.8
1/11/2024,65.96
1/10/2024,67.72
1/9/2024,69.9
1/8/2024,69.96
1/7/2024,
1/6/2024,
1/5/2024,73.97
1/4/2024,73.78
1/3/2024,75.42
1/2/2024,74.09
1/1/2024,
12/31/2023,
12/30/2023,
12/29/2023,77.98
12/28/2023,77.94
12/27/2023,77.74
12/26/2023,
12/25/2023,
12/24/2023,
12/23/2023,
12/22/2023,76.94
12/21/2023,75.88
12/20/2023,73.2
12/19/2023,69.76
12/18/2023,69.61
12/17/2023,
12/16/2023,
12/15/2023,67.57
12/14/2023,66.73
12/13/2023,68.88
12/12/2023,68.24
12/11/2023,67.34
12/10/2023,
12/9/2023,
12/8/2023,68.62
12/7/2023,69.97
12/6/2023,68.96
12/5/2023,68.91
12/4/2023,70.43
12/3/2023,
12/2/2023,
12/1/2023,72.45
11/30/2023,70.56
11/29/2023,70.78
11/28/2023,72.5
11/27/2023,73.07
11/26/2023,
11/25/2023,
11/24/2023,76.46
11/23/2023,76.57
11/22/2023,75.1
11/21/2023,75.21
11/20/2023,76.66
11/19/2023,
11/18/2023,
11/17/2023,76.23
11/16/2023,77.2
11/15/2023,79.8
11/14/2023,78.57
11/13/2023,77.04
11/12/2023,
11/11/2023,
11/10/2023,78.5
11/9/2023,77.3
11/8/2023,75.4
11/7/2023,75.36
11/6/2023,75.88
11/5/2023,
11/4/2023,
11/3/2023,77.2
11/2/2023,79.06
11/1/2023,78.66
10/31/2023,79.41
10/30/2023,78.78
10/29/2023,
10/28/2023,
10/27/2023,79.36
10/26/2023,79.58
10/25/2023,79.93
10/24/2023,80.66
10/23/2023,80.3
10/22/2023,
10/21/2023,
10/20/2023,81.67
10/19/2023,82
10/18/2023,81.79
10/17/2023,82.65
10/16/2023,83.41
10/15/2023,
10/14/2023,
10/13/2023,85.66
10/12/2023,85.45
10/11/2023,83.78
10/10/2023,84.74
10/9/2023,81.63
10/8/2023,
10/7/2023,
10/6/2023,80.62
10/5/2023,80.86
10/4/2023,81.82
10/3/2023,79.8
10/2/2023,80.7
10/1/2023,
9/30/2023,
9/29/2023,81.45
9/28/2023,83.11
9/27/2023,81.86
9/26/2023,82.51
9/25/2023,84.89
9/24/2023,
9/23/2023,
9/22/2023,85.3
9/21/2023,84.43
9/20/2023,82.76
9/19/2023,81.3
9/18/2023,80.88
9/17/2023,
9/16/2023,
9/15/2023,82.1
9/14/2023,82.93
9/13/2023,83.76
9/12/2023,81.12
9/11/2023,81.73
9/10/2023,
9/9/2023,
9/8/2023,81.62
9/7/2023,83.29
9/6/2023,83.7
9/5/2023,83.91
9/4/2023,84.08
9/3/2023,
