Date,Coal,Crude Oil,Natural Gas
1/31/2024,99.6,81.71,30.235
1/30/2024,96.15,82.87,29.391
1/29/2024,94.3,82.4,28.175
1/28/2024,,,
1/27/2024,,,
1/26/2024,106,83.55,28.079
1/25/2024,105.6,82.43,27.785
1/24/2024,105.8,80.04,28.93
1/23/2024,105.5,79.55,27.225
1/22/2024,105.35,80.06,27.265
1/21/2024,,,
1/20/2024,,,
1/19/2024,106,78.56,28.429
1/18/2024,107.05,79.1,27.895
1/17/2024,107.1,77.88,27.71
1/16/2024,107.75,78.29,29.655
1/15/2024,107.5,78.15,29.915
1/14/2024,,,
1/13/2024,,,
1/12/2024,108.8,78.29,31.99
1/11/2024,106.5,77.41,30.815
1/10/2024,109,76.8,30.94
1/9/2024,111.25,77.59,30.64
1/8/2024,113.2,76.12,31.58
1/7/2024,,,
1/6/2024,,,
1/5/2024,116,78.76,34.55
1/4/2024,112.3,77.59,33.41
1/3/2024,108.95,78.25,32.795
1/2/2024,106.15,75.89,30.57
1/1/2024,,,
12/31/2023,,,
12/30/2023,,,
12/29/2023,117.6,77.04,32.35
12/28/2023,117.25,78.39,33.105
12/27/2023,117.5,79.65,35.515
12/26/2023,113.5,81.07,34.175
12/25/2023,,,
12/24/2023,,,
12/23/2023,,,
12/22/2023,116,79.07,34.174
12/21/2023,115.75,79.39,34.205
12/20/2023,115.95,79.7,33.52
12/19/2023,115.9,79.23,32.57
12/18/2023,117.2,77.95,35.52
12/17/2023,,,
12/16/2023,,,
12/15/2023,117,76.55,33.19
12/14/2023,117.75,76.61,34.85
12/13/2023,117.75,74.26,35.81
12/12/2023,117.8,73.24,34.705
12/11/2023,121.95,76.03,36.12
12/10/2023,,,
12/9/2023,,,
12/8/2023,122.9,75.84,38.6
12/7/2023,121.75,74.05,39.97
12/6/2023,120.75,74.3,39.315
12/5/2023,117.95,77.2,38.135
12/4/2023,118.9,78.03,40.105
12/3/2023,,,
12/2/2023,,,
12/1/2023,120.4,78.88,43.496
11/30/2023,118.9,82.83,42.09
11/29/2023,114.4,83.1,40.36
11/28/2023,114.85,81.68,42.775
11/27/2023,116.7,79.98,43.985
11/26/2023,,,
11/25/2023,,,
11/24/2023,123.75,80.58,46.655
11/23/2023,123.65,81.42,46.58
11/22/2023,122.85,81.96,44.615
11/21/2023,122.4,82.45,44.065
11/20/2023,122.5,82.32,45.82
11/19/2023,,,
11/18/2023,,,
11/17/2023,120.9,80.61,45.064
11/16/2023,,77.42,45.85
11/15/2023,,81.18,47.035
11/14/2023,,82.47,47.61
11/13/2023,124.7,82.52,47.875
11/12/2023,,,
11/11/2023,,,
11/10/2023,124.7,81.43,46.63
11/9/2023,126.55,80.01,48.13
11/8/2023,125.1,79.54,45.775
11/7/2023,121,81.61,46.055
11/6/2023,120.25,85.18,44.83
11/5/2023,,,
11/4/2023,,,
11/3/2023,124.55,84.89,48.057
11/2/2023,124.1,86.85,48.565
11/1/2023,122.5,84.63,47.755
10/31/2023,123.5,87.41,48.005
10/30/2023,128.6,87.45,50.547
10/29/2023,,,
10/28/2023,,,
10/27/2023,136,90.48,50.53
10/26/2023,136,87.93,50.81
10/25/2023,135.8,90.13,49.925
10/24/2023,137.15,88.07,49.265
10/23/2023,137.25,89.83,51.275
10/22/2023,,,
10/21/2023,,,
10/20/2023,138,92.16,51.112
10/19/2023,137.5,92.38,50.17
10/18/2023,138.15,91.5,50.835
10/17/2023,138.5,89.9,48.895
10/16/2023,138.5,89.65,48.465
10/15/2023,,,
10/14/2023,,,
10/13/2023,138.4,90.89,53.982
10/12/2023,134.5,86,53
10/11/2023,130.25,85.82,46.07
10/10/2023,130.25,87.65,49.455
10/9/2023,126.5,88.15,43.955
10/8/2023,,,
10/7/2023,,,
10/6/2023,122.8,84.58,38.231
10/5/2023,119.5,84.07,36.205
10/4/2023,119.1,85.81,38.44
10/3/2023,120.8,90.92,36.985
10/2/2023,125.65,90.71,39.335
10/1/2023,,,
9/30/2023,,,
9/29/2023,123.3,95.31,41.859
9/28/2023,123,95.38,39.736
9/27/2023,123.15,96.55,39.295
9/26/2023,124,93.96,40.32
9/25/2023,122.55,93.29,44.44
9/24/2023,,,
9/23/2023,,,
9/22/2023,122.25,93.27,39.791
9/21/2023,122.25,93.3,39.105
9/20/2023,122.5,93.53,37.285
9/19/2023,122.5,94.34,36.78
9/18/2023,122.5,94.43,34.475
9/17/2023,,,
9/16/2023,,,
9/15/2023,122.25,93.93,36.485
9/14/2023,121.35,93.7,35.52
9/13/2023,120.85,91.88,36.815
9/12/2023,118.85,92.06,34.7
9/11/2023,117.2,90.64,35.85
9/10/2023,,,
9/9/2023,,,
9/8/2023,116.85,90.65,34.51
9/7/2023,116.65,89.92,32.755
9/6/2023,116.5,90.6,31.075
9/5/2023,119.35,90.04,34.45
9/4/2023,117.3,89,33.795
9/3/2023,,,
9/2/2023,,,
9/1/2023,116.9,88.55,35.617
8/31/2023,118.75,86.86,35.03
8/30/2023,122.25,85.86,35.992
8/29/2023,123.1,85.49,35.195
8/28/2023,124.5,84.42,38.415
8/27/2023,,,
8/26/2023,,,
8/25/2023,117.75,84.48,34.775
8/24/2023,118.15,83.36,31.94
8/23/2023,118.25,83.21,36.785
8/22/2023,118.8,84.03,42.91
8/21/2023,118.5,84.46,40.78
8/20/2023,,,
8/19/2023,,,
8/18/2023,116.75,84.8,36.41
8/17/2023,116,84.12,36.825
8/16/2023,115.85,83.45,37.785
8/15/2023,116.75,84.89,38.815
8/14/2023,115.6,86.21,34.435
8/13/2023,,,
8/12/2023,,,
8/11/2023,116.5,86.81,35.3
8/10/2023,117.5,86.4,37.055
8/9/2023,115.85,87.55,39.825
8/8/2023,114.75,86.17,31.065
8/7/2023,112.25,85.34,30.485
8/6/2023,,,
8/5/2023,,,
8/4/2023,108.25,86.24,28.853
8/3/2023,108.5,85.14,30.475
8/2/2023,105.25,83.2,28.74
8/1/2023,104.2,84.91,27.125
7/31/2023,105.25,85.56,28.365
7/30/2023,,,
7/29/2023,,,
7/28/2023,110.75,84.99,25.841
7/27/2023,111,84.24,28.435
7/26/2023,111.25,82.92,29.275
7/25/2023,111.15,83.64,32.65
7/24/2023,111.05,82.74,30.555
7/23/2023,,,
7/22/2023,,,
7/21/2023,110.5,81.07,28.164
7/20/2023,109.75,79.64,28.02
7/19/2023,108,79.46,26.965
7/18/2023,108.95,79.63,27.07
7/17/2023,104,78.5,25.1
7/16/2023,,,
7/15/2023,,,
7/14/2023,104.15,79.87,25.957
7/13/2023,103.65,81.36,26.605
7/12/2023,104.05,80.11,26.64
7/11/2023,105.9,79.4,29.06
7/10/2023,110.95,77.69,30.225
7/9/2023,,,
7/8/2023,,,
