Date,Temperature,Precipitation,Solar Energy,Wind Speed
1/31/2024,7.6,0,1.9,8.4
1/30/2024,9.9,0,1.2,8
1/29/2024,8.6,0,1.8,9.4
1/28/2024,4.6,0,1.6,7.7
1/27/2024,3.9,0.012,1.9,6.9
1/26/2024,9.9,0.742,2,13.5
1/25/2024,11.2,0.728,1,8.4
1/24/2024,13.3,0.392,1.5,16.4
1/23/2024,9.5,0.247,1.9,14.6
1/22/2024,10.8,0.359,1.3,24
1/21/2024,3.8,0.012,1.1,20.4
1/20/2024,-0.9,0,2,9
1/19/2024,-0.7,0,4.2,6.5
1/18/2024,0.5,8.141,1.6,13
1/17/2024,1.4,15.772,1.1,9.7
1/16/2024,-0.9,0,1.2,6.9
1/15/2024,1.6,0,3.7,12.1
1/14/2024,-1.9,0,0.9,7.8
1/13/2024,-1.3,0,0.6,6.3
1/12/2024,1.6,0,0.5,11.6
1/11/2024,-0.4,0,1.3,12.8
1/10/2024,-1,0.012,1.5,8
1/9/2024,-1.9,0.102,1,10.4
1/8/2024,-0.9,0.113,0.6,15.9
1/7/2024,3.3,0.035,0.5,14
1/6/2024,5.7,0.467,0.9,12.1
1/5/2024,7.6,0.024,0.8,15.4
1/4/2024,9.5,0.045,0.9,16.9
1/3/2024,10.6,5.431,0.7,17.8
1/2/2024,10.8,12.541,0.2,23.7
1/1/2024,8,2.813,1.4,16.6
12/31/2023,9.3,0.927,1.1,22.2
12/30/2023,9.1,0.047,0.7,13.6
12/29/2023,10.3,1.523,1,16
12/28/2023,10.3,0,1.1,15.8
12/27/2023,9.5,0.012,1.2,15.9
12/26/2023,10.6,0.237,0.6,12.3
12/25/2023,11.6,0.033,0.7,12.9
12/24/2023,11,0.012,1.2,15.8
12/23/2023,10.2,0,0.7,13.5
12/22/2023,10.3,0.516,0.6,15.2
12/21/2023,10.6,0.778,0.6,15.3
12/20/2023,7.9,0.084,0.7,13
12/19/2023,6.2,1.166,0.7,11.6
12/18/2023,1.8,0,0.6,8.2
12/17/2023,2.5,0.012,1.1,7.1
12/16/2023,6.9,0,1,4.7
12/15/2023,8.6,0.876,1.3,7
12/14/2023,7.9,0.294,0.9,13.3
12/13/2023,8.7,1.099,0.6,10.5
12/12/2023,11.5,1.347,1,11.8
12/11/2023,11,0.102,1,10.4
12/10/2023,10.3,1.677,0.8,16.7
12/9/2023,9.3,16.32,0.6,18
12/8/2023,8.1,2.172,0.8,8.1
12/7/2023,4.4,6.942,0.5,11.8
12/6/2023,5.7,0.036,0.7,8.3
12/5/2023,7.2,5.299,1,16
12/4/2023,6,9.445,0.5,14.3
12/3/2023,0.7,0,1.4,13.5
12/2/2023,0.4,0,1.1,10.4
12/1/2023,2.8,0,0.7,11.3
11/30/2023,4.3,0.018,0.8,8.5
11/29/2023,5,0,1.3,8.1
11/28/2023,5.5,0.405,1.3,12.3
11/27/2023,6.2,5.888,0.5,13.7
11/26/2023,3.5,0.03,1.7,8.3
11/25/2023,4.7,0,1.3,11.1
11/24/2023,9.2,0.282,0.8,13.4
11/23/2023,9.9,0.156,0.7,9.6
11/22/2023,7.6,0,1.5,13.9
11/21/2023,10.5,1.754,1,9.9
11/20/2023,10.7,0.286,0.9,16.1
11/19/2023,13.4,0,1.6,17.5
11/18/2023,10.6,12.919,0.4,12.4
11/17/2023,8.7,1.727,3.4,9.1
11/16/2023,8.7,17.43,1.2,14.4
11/15/2023,10.7,0,1.2,12.7
11/14/2023,12.3,0.658,0.7,16.1
11/13/2023,14.3,5.154,1,16.6
11/12/2023,9.3,8.159,0.9,13.1
11/11/2023,7.9,0.392,1.4,8.6
11/10/2023,8.7,1.818,1.7,16.9
11/9/2023,9.7,2.156,1.4,14
11/8/2023,9.6,1.072,1.5,16.2
11/7/2023,9.7,0.254,1.9,13.1
11/6/2023,10.3,0.37,2.1,14.1
11/5/2023,11.3,3.705,0.9,16.9
11/4/2023,10.4,7.266,1.1,18.6
11/3/2023,8.2,0.135,1.4,11.8
11/2/2023,11.6,7.083,1.6,25.4
11/1/2023,12.4,0.646,1.6,16.5
10/31/2023,11.9,0.183,1.9,11.7
10/30/2023,11.3,5.903,0.6,9.5
10/29/2023,13.5,7.303,1.7,17.6
10/28/2023,12.5,2.604,1.1,16.6
10/27/2023,12.2,3.826,1.6,11.1
10/26/2023,12.8,16.95,2,10.2
10/25/2023,12.9,6.834,1.9,15
10/24/2023,12.9,1.302,2.8,10.7
10/23/2023,10.4,6.182,0.6,9.2
10/22/2023,12.8,0.885,1.6,13.3
10/21/2023,13.4,2.256,1.7,21.9
10/20/2023,15.2,7.522,3.3,10.6
10/19/2023,17.5,0.818,2.1,13.9
10/18/2023,14.6,4.645,1,16.2
10/17/2023,10.5,0,2.1,9.5
10/16/2023,8.7,0,4.7,14.9
10/15/2023,10.3,0.012,2.8,9
10/14/2023,13.9,1.065,2.8,18.5
10/13/2023,20.8,0.264,2.4,19.8
10/12/2023,18.9,3.759,2.9,9.4
10/11/2023,18.8,0.012,3.1,10.8
10/10/2023,18.7,0,4.3,8.3
10/9/2023,18.7,0,3.3,4.2
10/8/2023,18.3,0.012,3.8,5.8
10/7/2023,16.5,0,3.7,5.8
10/6/2023,14.5,0.018,4,4.5
10/5/2023,14.5,0.018,3.5,3.8
10/4/2023,14,0.011,3.6,5.9
10/3/2023,18.7,0.51,4.8,14.3
10/2/2023,20.7,0,4.4,7.9
10/1/2023,18.8,0.102,3.5,7.2
9/30/2023,15.9,0,4.9,4.6
9/29/2023,19.1,0,4.5,12.9
9/28/2023,19.7,0,2.6,8.7
9/27/2023,19.7,0.024,2.7,10.3
9/26/2023,18.8,0,4.6,8.1
9/25/2023,16.6,0,2.2,5.9
9/24/2023,14.2,0.036,5.1,11.2
9/23/2023,13.6,0.167,4.3,7.1
9/22/2023,13.8,5.86,5.4,14.1
9/21/2023,16.9,12.932,2.6,13.5
9/20/2023,19.8,0,3.9,17.2
9/19/2023,16.8,2.978,1.9,13.3
9/18/2023,19.3,0.485,2.6,15.9
9/17/2023,21.1,5.897,4.4,14
9/16/2023,20.7,0,3.6,5.5
9/15/2023,20.6,0.036,16.1,7.8
9/14/2023,19.3,0.11,9.5,5.1
9/13/2023,19,0.699,9.7,5
9/12/2023,19.1,13.514,1.9,8.4
9/11/2023,23.5,0,6.7,10.6
9/10/2023,27.3,0,5.2,8.2
9/9/2023,27.6,0,6.3,8.6
9/8/2023,26.9,0,5.7,5.5
9/7/2023,24.7,0,6.3,4.7
9/6/2023,26,0,7.2,8.5
9/5/2023,25.5,0,5.4,6.3
9/4/2023,24,0,7.6,12.9
9/3/2023,24.4,0,7.1,10.5
9/2/2023,22.2,0,3.4,10.1
9/1/2023,19.6,0.935,4.8,10.8
8/31/2023,16.3,0.766,3.4,9
8/30/2023,16.5,0.056,4.5,12
8/29/2023,16.7,0,4.3,8.2
8/28/2023,16.4,0,8.1,11
8/27/2023,16.3,0.225,5.4,9.9
8/26/2023,17.7,0.351,7.5,10.8
8/25/2023,20.5,0,1.9,9.3
8/24/2023,23.9,0.564,4.8,15.1
8/23/2023,24.6,0,5.9,9.6
