Date,Price
4/25/2005,17.55
4/26/2005,17.2
4/27/2005,16.45
4/28/2005,16
4/29/2005,16.5
5/3/2005,16.25
5/4/2005,16.2
5/5/2005,16.6
5/6/2005,16.6
5/9/2005,17
5/10/2005,17.1
5/11/2005,16.9
5/12/2005,16.75
5/13/2005,16.8
5/16/2005,16.9
5/17/2005,17.2
5/18/2005,17.45
5/19/2005,18
5/20/2005,18.75
5/23/2005,18.5
5/24/2005,19.1
5/25/2005,19.95
5/26/2005,19.75
5/27/2005,19.65
5/31/2005,19.9
6/1/2005,19.6
6/2/2005,19.5
6/3/2005,19.1
6/6/2005,19.3
6/7/2005,19.6
6/8/2005,19.8
6/9/2005,19.65
6/10/2005,19.65
6/13/2005,19.85
6/14/2005,19.9
6/15/2005,20.1
6/16/2005,20.6
6/17/2005,21.5
6/20/2005,22.95
6/21/2005,23
6/22/2005,23.2
6/23/2005,23.4
6/24/2005,24
6/27/2005,23.95
6/28/2005,24.5
6/29/2005,25.45
6/30/2005,25.8
7/1/2005,26.9
7/4/2005,29.45
7/5/2005,28.85
7/6/2005,29.3
7/7/2005,29.4
7/8/2005,29.7
7/11/2005,29.9
7/12/2005,29.45
7/13/2005,27.95
7/14/2005,24
7/15/2005,24.3
7/18/2005,24.7
7/19/2005,24.55
7/20/2005,20.9
7/21/2005,20.35
7/22/2005,20.1
7/25/2005,20.15
7/26/2005,20.8
7/27/2005,22.05
7/28/2005,22.05
7/29/2005,22.35
8/1/2005,21.45
8/2/2005,20.7
8/3/2005,20.7
8/4/2005,20.5
8/5/2005,21.25
8/8/2005,21.75
8/9/2005,22.45
8/10/2005,22.45
8/11/2005,22.55
8/12/2005,22.8
8/15/2005,22.4
8/16/2005,22.45
8/17/2005,22.8
8/18/2005,22.75
8/19/2005,22.9
8/22/2005,23.05
8/23/2005,23.1
8/24/2005,23.1
8/25/2005,23.35
8/26/2005,23.55
8/30/2005,23.65
8/31/2005,23.95
9/1/2005,24.4
9/2/2005,24.75
9/5/2005,24.75
9/6/2005,24.65
9/7/2005,24.7
9/8/2005,24.35
9/9/2005,23.75
9/12/2005,22.25
9/13/2005,21.75
9/14/2005,22.45
9/15/2005,22.7
9/16/2005,22.05
9/19/2005,22.6
9/20/2005,22.05
